,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
0,1580515200000,9351.71000000,9394.08000000,9341.17000000,9383.07000000,848.81719700,1580518799999,7950986.77524696,12119,465.17274000,4357468.00431309,0
1,1580518800000,9383.35000000,9435.00000000,9377.80000000,9429.86000000,1090.14920100,1580522399999,10249734.33501961,13958,602.43353000,5664572.57650458,0
2,1580522400000,9428.55000000,9464.53000000,9403.27000000,9441.88000000,1581.55035600,1580525999999,14934027.47651222,16038,893.51689700,8438150.01345947,0
3,1580526000000,9441.42000000,9457.14000000,9390.01000000,9432.33000000,1104.47562400,1580529599999,10410095.12209749,11857,543.98239500,5128003.05040081,0
4,1580529600000,9431.75000000,9449.94000000,9400.00000000,9401.42000000,910.52137400,1580533199999,8584951.76691949,10985,505.92452400,4770702.97637443,0
5,1580533200000,9402.20000000,9414.37000000,9377.77000000,9381.12000000,924.55992800,1580536799999,8691465.29950958,10181,419.10194200,3940175.34023225,0
6,1580536800000,9381.13000000,9409.64000000,9378.85000000,9398.01000000,806.70461800,1580540399999,7579754.16160985,9734,480.48787400,4514635.75037564,0
7,1580540400000,9397.54000000,9454.77000000,9396.96000000,9423.01000000,1488.56477700,1580543999999,14040409.09439045,14565,883.02963700,8328769.25914276,0
8,1580544000000,9423.02000000,9425.76000000,9380.00000000,9384.62000000,1281.66071300,1580547599999,12043882.61175152,11790,510.59267400,4799339.40326332,0
9,1580547600000,9385.10000000,9398.71000000,9355.00000000,9387.87000000,1475.34143400,1580551199999,13829521.06838432,15849,641.73829400,6016531.75518860,0
10,1580551200000,9387.44000000,9407.00000000,9358.00000000,9379.55000000,1078.15745400,1580554799999,10114543.91658211,13764,602.57465200,5652854.03512016,0
11,1580554800000,9379.55000000,9385.82000000,9321.41000000,9354.66000000,1468.00113200,1580558399999,13721754.94033672,16476,696.87319700,6513482.44268846,0
12,1580558400000,9354.65000000,9367.64000000,9281.00000000,9312.06000000,1585.11522300,1580561999999,14779081.16569418,16007,725.68048900,6768014.92177302,0
13,1580562000000,9311.64000000,9372.00000000,9303.72000000,9345.35000000,1543.52678600,1580565599999,14430004.96609030,17786,811.76794800,7588569.77660237,0
