no,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
0,1577836800000,7195.24000000,7196.25000000,7180.26000000,7182.43000000,70.57263700,1577836979999,507217.38777860,830,27.10924600,194844.70798348,0
1,1577836980000,7183.83000000,7188.94000000,7178.20000000,7179.99000000,37.39973900,1577837159999,268584.11200821,440,9.31678400,66917.65668444,0
2,1577837160000,7180.00000000,7187.74000000,7179.99000000,7187.68000000,30.88699900,1577837339999,221869.13280786,353,13.84203500,99433.13281141,0
3,1577837340000,7187.68000000,7193.53000000,7186.02000000,7188.71000000,38.88087800,1577837519999,279534.95993315,422,18.96943700,136383.31548908,0
4,1577837520000,7189.52000000,7189.52000000,7180.24000000,7180.97000000,25.20261500,1577837699999,181039.30710680,407,7.72453900,55490.72196053,0
5,1577837700000,7180.97000000,7186.40000000,7180.00000000,7180.23000000,18.93224800,1577837879999,135969.26686007,308,8.91759400,64046.90510118,0
6,1577837880000,7180.00000000,7180.22000000,7176.26000000,7176.34000000,27.42693200,1577838059999,196865.61218080,428,11.56468800,83010.03018080,0
7,1577838060000,7176.31000000,7182.46000000,7176.20000000,7179.98000000,22.80955600,1577838239999,163758.17998314,385,11.20108400,80423.37675638,0
8,1577838240000,7179.48000000,7185.56000000,7175.47000000,7180.44000000,29.54496100,1577838419999,212125.01583629,438,14.45182200,103770.58519302,0
9,1577838420000,7179.77000000,7181.87000000,7176.11000000,7178.45000000,29.52895700,1577838599999,211984.67221856,389,12.25392200,87975.57421557,0
10,1577838600000,7178.19000000,7185.44000000,7177.54000000,7183.69000000,22.00304700,1577838779999,158019.83107337,403,14.52478400,104308.34976429,0
11,1577838780000,7184.09000000,7184.30000000,7178.46000000,7179.70000000,17.00992000,1577838959999,122137.00478176,317,6.41569500,46070.16025590,0
12,1577838960000,7179.90000000,7182.53000000,7179.67000000,7180.74000000,14.93075700,1577839139999,107220.45854400,330,7.30530100,52463.46456124,0
13,1577839140000,7181.49000000,7181.79000000,7176.23000000,7180.27000000,17.74694700,1577839319999,127399.83282902,272,9.16288200,65774.52717806,0
14,1577839320000,7180.26000000,7182.45000000,7178.93000000,7179.56000000,11.79678700,1577839499999,84702.02557713,258,6.41371200,46050.81931201,0
15,1577839500000,7179.35000000,7182.14000000,7179.35000000,7182.12000000,9.93286800,1577839679999,71325.24112434,209,5.92673500,42559.25027479,0
16,1577839680000,7181.71000000,7183.98000000,7181.07000000,7183.92000000,16.86194200,1577839859999,121108.71578013,260,12.06746700,86671.90201559,0
17,1577839860000,7183.14000000,7183.72000000,7175.51000000,7179.27000000,29.11967600,1577840039999,209056.40413591,475,11.14145700,79998.23676038,0
18,1577840040000,7179.39000000,7182.23000000,7175.46000000,7176.72000000,25.61386900,1577840219999,183877.55549174,432,9.71419000,69745.56846020,0
19,1577840220000,7176.25000000,7180.01000000,7175.48000000,7177.02000000,15.61356600,1577840399999,112061.86343455,284,8.12975200,58350.90469202,0
20,1577840400000,7176.47000000,7185.86000000,7175.71000000,7185.45000000,13.47296500,1577840579999,96730.12093576,353,8.93847400,64179.55515596,0
21,1577840580000,7185.42000000,7185.70000000,7180.18000000,7184.99000000,24.80253600,1577840759999,178165.29547096,354,11.96575400,85964.21358592,0
22,1577840760000,7184.65000000,7192.88000000,7183.73000000,7192.31000000,26.61432100,1577840939999,191356.08315489,320,20.61825600,148242.60963250,0
23,1577840940000,7192.31000000,7194.04000000,7188.62000000,7192.70000000,18.11031600,1577841119999,130237.84868541,310,5.79741800,41698.17434123,0
24,1577841120000,7192.70000000,7194.04000000,7190.71000000,7190.86000000,20.52038400,1577841299999,147599.75579410,251,8.93147600,64245.94567045,0
25,1577841300000,7190.46000000,7194.01000000,7189.23000000,7191.47000000,16.42115000,1577841479999,118086.28598655,288,5.52194200,39713.26744673,0
26,1577841480000,7191.64000000,7195.00000000,7191.36000000,7193.89000000,12.65896700,1577841659999,91051.93815309,249,7.47757200,53785.13468136,0
27,1577841660000,7194.93000000,7198.00000000,7192.27000000,7194.81000000,23.39158700,1577841839999,168301.97931954,346,10.69629800,76966.14642492,0
28,1577841840000,7194.40000000,7206.51000000,7190.79000000,7202.33000000,117.06208900,1577842019999,842852.34592923,661,91.63460500,659768.50358640,0
29,1577842020000,7202.86000000,7217.00000000,7202.57000000,7212.10000000,82.00925900,1577842199999,591505.84855067,928,50.82098100,366572.21159434,0
30,1577842200000,7212.10000000,7230.00000000,7211.32000000,7218.65000000,233.78693000,1577842379999,1688295.73848998,1504,176.13349300,1271894.88987473,0
31,1577842380000,7219.45000000,7221.39000000,7211.40000000,7211.61000000,49.63749400,1577842559999,358195.45883663,442,31.53419400,227548.09658980,0
32,1577842560000,7213.45000000,7221.95000000,7210.53000000,7220.97000000,35.15627300,1577842739999,253683.38776276,427,16.16899800,116686.81899362,0
33,1577842740000,7221.00000000,7221.41000000,7212.16000000,7212.68000000,34.56570600,1577842919999,249471.57944979,362,18.04660200,130244.21028705,0
34,1577842920000,7213.26000000,7215.96000000,7207.17000000,7211.87000000,34.10084900,1577843099999,245935.20964094,468,16.18061200,116703.99641073,0
35,1577843100000,7212.34000000,7212.67000000,7205.47000000,7205.91000000,35.37936700,1577843279999,255024.49537706,432,16.30543800,117545.70169156,0
36,1577843280000,7206.19000000,7206.68000000,7205.01000000,7205.04000000,16.61784800,1577843459999,119738.96595389,222,9.02250100,65011.63100222,0
37,1577843460000,7205.24000000,7211.77000000,7204.28000000,7209.90000000,41.11404900,1577843639999,296307.09920472,466,32.17411900,231883.78126086,0
38,1577843640000,7209.22000000,7210.48000000,7207.39000000,7208.99000000,31.52893100,1577843819999,227305.28962948,393,24.15862200,174173.41593640,0
