,open_time,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
0,1546300800000,3701.23000000,3713.00000000,3675.04000000,3693.13000000,2991.92353400,1546315199999,11050235.06866957,22720,1623.30526100,5995807.39066269,0
1,1546315200000,3692.32000000,3726.64000000,3685.94000000,3713.83000000,3373.76039900,1546329599999,12494556.35793086,21968,1906.76564300,7061959.78817576,0
2,1546329600000,3714.19000000,3732.00000000,3696.14000000,3707.54000000,2977.75898300,1546343999999,11058808.01667992,20706,1574.89161800,5849648.65411942,0
3,1546344000000,3707.56000000,3756.94000000,3666.01000000,3682.61000000,3720.11856900,1546358399999,13780549.03308909,24464,1967.84205700,7293410.78180695,0
4,1546358400000,3683.00000000,3701.68000000,3642.00000000,3696.73000000,3248.11597500,1546372799999,11937977.41445615,22941,1790.13312500,6579837.67113562,0
5,1546372800000,3696.71000000,3810.16000000,3675.67000000,3797.14000000,7430.00957300,1546387199999,27827123.20147902,41428,4056.21819500,15192771.58095756,0
6,1546387200000,3796.45000000,3810.00000000,3763.75000000,3779.98000000,4496.50709600,1546401599999,17010364.40088631,27986,2153.55099400,8149120.73200865,0
7,1546401600000,3780.00000000,3788.31000000,3750.45000000,3771.08000000,3419.89052000,1546415999999,12889025.34663410,27371,1572.25641800,5926295.82333984,0
8,1546416000000,3772.64000000,3803.68000000,3770.00000000,3787.97000000,6213.28532000,1546430399999,23500575.25463501,40142,3034.31219300,11478569.93928631,0
9,1546430400000,3788.81000000,3839.63000000,3778.23000000,3801.28000000,7454.87000900,1546444799999,28383490.54336059,40677,3909.51943800,14886326.93703961,0
10,1546444800000,3802.61000000,3865.72000000,3795.00000000,3824.98000000,6987.58217200,1546459199999,26721854.85963070,39884,3765.98471000,14403252.20315690,0
11,1546459200000,3824.98000000,3882.14000000,3812.34000000,3858.56000000,6584.32825200,1546473599999,25371316.84136389,42478,3485.97636100,13434332.02622657,0
12,1546473600000,3857.57000000,3862.74000000,3821.14000000,3841.83000000,4473.69124300,1546487999999,17186933.53337407,32305,2352.11517200,9036563.09750337,0
13,1546488000000,3841.83000000,3850.00000000,3805.00000000,3828.88000000,3225.22703300,1546502399999,12345121.97441957,27379,1593.45705400,6099552.48377559,0
14,1546502400000,3828.88000000,3832.83000000,3783.00000000,3804.00000000,6171.74682400,1546516799999,23495926.46157290,35664,2930.00367500,11154732.66409479,0
15,1546516800000,3803.31000000,3823.00000000,3785.32000000,3806.70000000,4869.26546300,1546531199999,18535583.00319865,32002,2513.84421400,9570218.45947003,0
16,1546531200000,3807.37000000,3807.75000000,3730.00000000,3756.00000000,7090.39438100,1546545599999,26610432.71230362,43585,3573.67441100,13412575.62289129,0
17,1546545600000,3756.00000000,3782.69000000,3752.37000000,3766.78000000,3576.62341500,1546559999999,13483375.01039587,28877,1829.98874100,6898853.09919477,0
18,1546560000000,3767.20000000,3787.65000000,3730.00000000,3780.04000000,3608.72785400,1546574399999,13560874.39740638,27614,1975.93370300,7426588.85503479,0
19,1546574400000,3780.04000000,3800.00000000,3761.94000000,3783.28000000,4829.92437500,1546588799999,18264697.98029217,32166,2564.70961600,9700316.28646853,0
20,1546588800000,3783.28000000,3800.00000000,3752.00000000,3757.55000000,4621.51941300,1546603199999,17439575.76793791,29825,2305.31244600,8702443.51024972,0
21,1546603200000,3754.05000000,3765.00000000,3703.57000000,3725.28000000,7100.93271400,1546617599999,26528060.57598017,39147,3569.49024600,13336523.45392460,0
22,1546617600000,3725.30000000,3754.00000000,3717.30000000,3739.53000000,3825.82241800,1546631999999,14301369.78102140,29782,2013.22144800,7527584.60177594,0
23,1546632000000,3739.74000000,3823.64000000,3733.46000000,3792.01000000,5532.62789700,1546646399999,20939972.13802393,33698,3150.63579900,11922747.27044289,0
24,1546646400000,3790.09000000,3838.70000000,3783.25000000,3815.00000000,7129.55749000,1546660799999,27161474.78184944,37088,3817.31216500,14542684.31175600,0
25,1546660800000,3815.35000000,3840.99000000,3780.13000000,3785.15000000,5673.32128300,1546675199999,21640807.64105392,34733,2435.76631400,9290283.64592605,0
