Open,High,Low,Close,Volume
4261.48,4280.56,4261.32,4261.45,11.308926
4280,4313.62,4267.99,4308.83,35.872083
4308.83,4328.69,4304.31,4320,21.048648
4320,4320,4291.37,4315.32,2.186268
4330.29,4330.29,4309.37,4311.02,3.566277
4328.65,4345.45,4319.83,4324.35,3.663414
4316.62,4316.62,4291.38,4291.38,0.040459
4291.39,4349.99,4287.41,4349.99,4.40279
4333.32,4377.85,4333.32,4360.7,0.84226
4360.7,4360.7,4360,4360.69,0.130547
4360,4360,4360,4360,2.295001
4360,4445.78,4360,4444,8.468622
4441.1,4443,4399.81,4440,5.274331
4400,4470,4400,4460,19.591068
4460,4485.39,4454.72,4485.39,24.929329
4485.39,4485.39,4427.3,4427.3,2.088724
4436.06,4449.56,4418.12,4418.12,21.095547
4417,4431.13,4411,4411,1.936851
4411,4445.88,4411,4440,3.718318
4435.12,4459,4425.21,4459,27.594118
4459,4469.46,4435.93,4467.81,21.648809
4467.81,4485.39,4452.57,4470.82,30.087088
4470.82,4470.82,4412.1,4432.2,22.594839
4432.2,4444.9,4333.42,4352.34,45.886431
4352.33,4354.35,4255.3,4290.17,53.209948
4290.17,4354.18,4290.17,4354.18,14.248843
4354.18,4354.84,4301.5,4335.28,21.401496
4335.28,4354.84,4235.45,4289.24,38.263416
4289.24,4302.45,4218.68,4287.69,24.946195
4287.69,4302.45,4222.97,4256.97,26.328968
4241.91,4302.44,4200.74,4287.61,33.16595
4287.61,4335.3,4287.61,4325.23,13.5449
4307.56,4325.23,4261,4273.16,26.16558
4258.56,4354.84,4258.56,4346.74,22.809892
4346.74,4369.69,4315.85,4349.33,29.292665
4349.33,4369.69,4309.23,4333.55,32.480371
4333.55,4349.63,4310,4326.29,26.241174
4326.28,4359.13,4319.11,4336.8,31.134968
4313.39,4337.38,4300,4327.89,39.337249
4327.89,4332.26,4280.82,4285.08,42.308014
4285.08,4309.92,4267.78,4292.11,26.371471
4292.11,4340.62,4228.76,4286.53,56.064003
4269.36,4269.36,4134.61,4214.97,53.313177
4214.97,4269.36,4200.6,4243.59,22.371706
4251.95,4298.64,4234,4278.05,39.571955
4278.05,4278.05,4242.75,4267.59,14.499382
4244.77,4308.7,4244.77,4244.77,29.093027
4244.77,4296.6,4234,4292.39,34.908322
4292.39,4292.39,4234.43,4245,25.454966
4245,4292.39,4234.67,4287.92,25.342549
4287.92,4319.93,4250.04,4317.21,35.170531
4317.21,4340.62,4274.16,4313.56,28.998755
4313.56,4316.98,4262.32,4289.09,24.411926
4289.09,4304.66,4247.75,4279.46,39.823498
4279.46,4304.66,4270.48,4286.05,33.833827
4286.05,4304.67,4270.48,4300.25,35.352977
4285,4307.41,4284.33,4306.41,36.146521
4306.41,4320.71,4259.85,4282.73,38.683328
4265.33,4327.25,4265.33,4307.01,26.419827
4317.6,4317.6,4276.89,4304.15,19.233329
4304.15,4349,4296.04,4349,28.417819
4330.26,4371.52,4317.91,4356.31,23.145856
4356.31,4357.37,4327,4330,12.303876
4330,4343.23,4302.72,4340.31,11.789573
4320.52,4340.31,4320.52,4340.3,13.917707
4340.3,4340.3,4287.79,4331.71,1.20125
4302.97,4318.16,4273.74,4278,11.958861
4278,4293.65,4221.05,4293.09,34.574906
4293.09,4293.09,4224.72,4256.79,41.871411
4229.42,4259.4,4193.7,4259.4,32.497532
4259.4,4259.4,4209.5,4229.86,18.317684
4200,4249.51,4200,4236.89,21.630033
