c;timestamp
6734.68000000;1576681995.9932132
6736.00000000;1576681997.687427
6735.00000000;1576681999.8803773
6735.01000000;1576682001.872654
6735.68000000;1576682003.8876746
6735.80000000;1576682005.8833814
6735.80000000;1576682007.9244444
6736.33000000;1576682010.3373208
6735.03000000;1576682012.1318343
6735.81000000;1576682014.327037
6736.00000000;1576682016.7572713
6736.02000000;1576682018.555458
6736.01000000;1576682020.5542004
6736.01000000;1576682022.9678304
6736.16000000;1576682024.6686676
6736.01000000;1576682026.7515662
6737.18000000;1576682028.767988
6739.16000000;1576682030.8940406
6740.42000000;1576682032.9230745
6740.26000000;1576682035.3440757
6740.39000000;1576682037.0933352
6740.58000000;1576682039.0856006
6742.13000000;1576682041.2505322
6741.26000000;1576682043.5195832
6741.23000000;1576682045.9004567
6741.14000000;1576682047.7558806
6741.25000000;1576682049.8382838
6743.07000000;1576682052.0705698
6742.76000000;1576682054.1858568
6743.63000000;1576682056.3374305
6742.78000000;1576682058.8644128
6743.69000000;1576682060.5321739
6743.43000000;1576682062.5556824
6742.73000000;1576682065.0725775
6743.11000000;1576682066.8699832
6742.70000000;1576682069.4490552
6744.11000000;1576682071.0958583
6744.08000000;1576682073.2154715
6743.95000000;1576682075.2094026
6747.49000000;1576682077.6842425
6748.48000000;1576682079.4329019
6744.19000000;1576682081.452214
6745.28000000;1576682084.0027764
6747.37000000;1576682086.0656254
6746.13000000;1576682087.7019393
6744.84000000;1576682089.7306905
6745.00000000;1576682092.0427866
6746.84000000;1576682094.0811226
6748.01000000;1576682096.110886
6747.32000000;1576682098.2467296
6746.15000000;1576682100.2457502
6746.50000000;1576682102.2886367
6746.53000000;1576682104.457009
6747.56000000;1576682106.530919
6747.43000000;1576682108.5533366
6748.64000000;1576682110.5667315
6750.96000000;1576682112.9701922
6751.46000000;1576682114.63324
6755.02000000;1576682116.63145
6755.16000000;1576682118.6578257
6757.20000000;1576682121.5226512
6757.19000000;1576682123.1594033
6756.15000000;1576682125.232642
6754.93000000;1576682127.395711
6756.83000000;1576682129.5162497
6758.47000000;1576682131.529726
6758.61000000;1576682133.8961985
6754.51000000;1576682135.5933125
6755.07000000;1576682138.013115
6755.56000000;1576682140.0551214
6757.58000000;1576682142.094869
6760.42000000;1576682144.143571
6761.44000000;1576682146.2023604
6764.00000000;1576682148.1972206
6767.07000000;1576682150.4736474
6765.00000000;1576682152.4508133
6765.19000000;1576682154.4838629
6765.17000000;1576682156.4804106
