Open,High,Low,Close
9351.71,9376.99,9341.17,9374.55
9374.56,9378,9348.54,9351.08
9351.08,9394.08,9350.19,9383.22
9383.77,9390,9364.64,9383.07
9383.35,9408.98,9377.8,9405.56
9405.95,9413.61,9389.99,9405.83
9405.83,9411.78,9382.68,9398.83
9398.21,9435,9394.7,9429.86
9428.55,9450,9403.27,9441.37
9442.16,9464.53,9430.03,9437.6
9437.23,9464,9437.23,9450.01
9450.14,9450.69,9419.39,9441.88
9441.42,9457.14,9425.26,9429.88
9431.42,9434.48,9410.73,9434.17
9434.17,9437.71,9390.01,9423.18
9423.01,9433.31,9405.01,9432.33
9431.75,9449.94,9419.04,9419.07
9419.07,9440.25,9416.52,9435.13
9436.26,9445,9430,9434.41
9434.26,9435,9400,9401.42
9402.2,9414.37,9392.18,9402.79
9403.34,9412.41,9390,9408.56
9408.55,9412.4,9400,9404.31
9404.31,9408.32,9377.77,9381.12
9381.13,9397,9378.85,9382.58
9382.49,9404.22,9380.29,9403.05
9403.06,9409.64,9394.4,9405.08
9404.18,9407,9392,9398.01
9397.54,9443.34,9396.96,9438.2
9438.16,9443.89,9424.36,9431.3
9431.94,9454.77,9428.18,9433.12
9432.32,9438.68,9413.16,9423.01
9423.02,9425.76,9401.63,9414.23
9414.27,9419.03,9391.89,9397.89
9397.77,9402,9380,9384.14
9384.14,9399.36,9380.17,9384.62
9385.1,9398.71,9360,9364.6
9363.49,9384.16,9355,9382.47
9383.9,9388.89,9368.17,9382.52
9382.52,9394.75,9381.17,9387.87
9387.44,9407,9387.44,9394.68
9394.68,9394.72,9367.64,9375.75
9376.45,9379.89,9358,9370.61
9370.6,9389.71,9370,9379.55
9379.55,9385.82,9351,9351.82
9352.52,9363.61,9330,9330.09
9330.16,9354.86,9326.85,9342.47
9342.47,9355.79,9321.41,9354.66
9354.65,9367.64,9335.18,9345.98
9345.6,9351.82,9333.56,9335.64
9336.17,9338.37,9309.93,9332.91
9332.74,9332.74,9281,9312.06
9311.64,9357.85,9303.72,9341.45
9341.31,9372,9340,9354.73
9354.73,9359.92,9342.96,9348.16
9347.07,9368,9342.57,9345.35
9345.19,9345.19,9308.21,9312.35
9312.42,9339.98,9305,9320
9320.7,9329.26,9311.48,9326.27
9325.46,9359.4,9325.06,9350.08
9350,9365,9333.75,9364.02
9364.02,9375,9353.32,9353.85
9353.85,9374.3,9352,9356.22
9355.61,9360.22,9330.27,9333.91
9333.73,9356.77,9327,9341.05
9340.9,9365.61,9335,9359
9358.07,9399.83,9356.17,9380
