,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
0,1517443200000,10285.10000000,10335.00000000,10215.07000000,10263.18000000,594.44129000,1517446799999,6115555.42732146,5895,279.12304600,2872194.05048160,0
1,1517446800000,10263.18000000,10328.98000000,10216.00000000,10247.49000000,591.51572500,1517450399999,6075265.65422887,7011,206.87583500,2125737.84705670,0
2,1517450400000,10249.43000000,10317.73000000,10176.89000000,10199.61000000,479.41256200,1517453999999,4925487.64559189,6550,208.08301600,2138136.03796232,0
3,1517454000000,10199.61000000,10250.79000000,9959.04000000,10069.80000000,739.43530900,1517457599999,7459189.67996952,9014,319.40746200,3218742.58923152,0
4,1517457600000,10069.77000000,10256.00000000,10000.01000000,10245.79000000,649.93985400,1517461199999,6582218.41977594,7431,387.99948300,3929931.38684970,0
5,1517461200000,10245.00000000,10275.47000000,10193.45000000,10238.00000000,387.67406600,1517464799999,3969486.12325306,4884,217.53209900,2228227.02189136,0
6,1517464800000,10230.12000000,10235.94000000,10080.33000000,10092.14000000,447.45916700,1517468399999,4542658.55502660,6369,217.21590400,2206004.28600402,0
7,1517468400000,10092.14000000,10191.73000000,10057.30000000,10063.75000000,396.30660800,1517471999999,4008922.43054137,5224,186.28123400,1884705.58266317,0
8,1517472000000,10063.75000000,10078.10000000,9720.00000000,9940.31000000,2033.00347100,1517475599999,20120070.24252524,18405,876.45582100,8676302.94142801,0
9,1517475600000,9947.99000000,9964.91000000,9554.00000000,9576.10000000,1851.77864600,1517479199999,18055244.14685928,15883,802.59898700,7836103.91700398,0
10,1517479200000,9589.92000000,9679.00000000,9501.00000000,9501.90000000,2147.56286100,1517482799999,20564743.85478752,15135,910.88965600,8726754.93596561,0
11,1517482800000,9502.95000000,9725.00000000,9500.00000000,9591.44000000,1372.45170300,1517486399999,13176428.95663133,10097,674.38216000,6477614.95434707,0
12,1517486400000,9591.45000000,9665.58000000,9320.00000000,9480.00000000,1778.14192200,1517489999999,16803326.94139264,15828,777.55675700,7350127.75711196,0
13,1517490000000,9474.00000000,9490.00000000,9224.00000000,9294.95000000,1923.73046100,1517493599999,17969874.81827632,16558,790.53289900,7387658.60287353,0
14,1517493600000,9295.58000000,9580.00000000,9294.96000000,9430.15000000,1754.02294800,1517497199999,16584280.64931557,16417,910.79876400,8614041.34153765,0
15,1517497200000,9430.15000000,9480.00000000,9240.01000000,9339.87000000,1156.75930800,1517500799999,10827648.17047178,11166,531.64033900,4977779.33263060,0
16,1517500800000,9326.23000000,9340.00000000,9011.51000000,9066.66000000,2938.73593000,1517504399999,26909851.10102693,26830,1238.72676700,11355808.32294244,0
17,1517504400000,9058.78000000,9191.30000000,9040.00000000,9102.33000000,1573.06265800,1517507999999,14334123.94356831,14577,848.82288400,7737420.38523948,0
18,1517508000000,9102.33000000,9203.88000000,9070.00000000,9130.03000000,865.01387800,1517511599999,7913163.95079976,8867,406.03983900,3717616.39732210,0
