,open_time,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
0,1546300800000,3701.23000000,3810.16000000,3642.00000000,3797.14000000,23741.68703300,1546387199999,88149249.09230461,154227,12919.15589900,47973435.86685800,0
1,1546387200000,3796.45000000,3882.14000000,3750.45000000,3858.56000000,35156.46336900,1546473599999,133876627.24651060,218538,17921.60011400,68277897.66105788,0
2,1546473600000,3857.57000000,3862.74000000,3730.00000000,3766.78000000,29406.94835900,1546559999999,111657372.69526468,199812,14793.08326700,56172495.42692984,0
3,1546560000000,3767.20000000,3823.64000000,3703.57000000,3792.01000000,29519.55467100,1546646399999,111034550.64066196,192232,15579.30325800,58616203.97789647,0
4,1546646400000,3790.09000000,3840.99000000,3751.00000000,3770.96000000,30490.66775100,1546732799999,115893501.27515878,203673,14908.91417500,56667455.38615935,0
5,1546732800000,3771.12000000,4027.71000000,3740.00000000,3987.60000000,36553.80670900,1546819199999,142198812.18914709,240496,19772.88700800,76903705.93007119,0
6,1546819200000,3987.62000000,4017.90000000,3921.53000000,3975.45000000,31869.84626400,1546905599999,126830380.49287239,221219,16404.35224100,65287611.65056139,0
7,1546905600000,3976.76000000,4069.80000000,3903.00000000,3955.13000000,38901.42312200,1546991999999,154778846.54236616,242898,20047.97760100,79781104.89538665,0
8,1546992000000,3955.45000000,4006.81000000,3930.04000000,3966.65000000,28989.43951100,1547078399999,115218950.31554872,209240,14984.33702000,59559010.74523400,0
9,1547078400000,3966.06000000,3996.01000000,3540.00000000,3585.88000000,59402.22851000,1547164799999,221789348.03469807,374760,28288.32257400,105616252.06340843,0
10,1547164800000,3585.88000000,3658.00000000,3465.00000000,3601.31000000,38338.65473300,1547251199999,137560743.62485982,264996,19907.35058600,71430015.64522145,0
11,1547251200000,3601.31000000,3618.19000000,3530.00000000,3583.13000000,21999.92835400,1547337599999,78908770.67658037,175679,11645.59884600,41778835.50680978,0
12,1547337600000,3584.10000000,3611.10000000,3441.30000000,3476.81000000,26385.75745400,1547423999999,92882249.46737902,183113,13692.42064000,48229503.01532720,0
13,1547424000000,3477.56000000,3671.87000000,3467.02000000,3626.09000000,35235.21121500,1547510399999,125631820.06705057,229452,18416.41690200,65668831.10400985,0
14,1547510400000,3626.08000000,3648.42000000,3516.62000000,3553.06000000,34137.99745900,1547596799999,122785440.22887539,231684,17225.62243400,61971796.91256990,0
15,1547596800000,3553.06000000,3645.00000000,3543.51000000,3591.84000000,27480.17997700,1547683199999,98504455.20666535,205159,14183.69988000,50843136.81523343,0
16,1547683200000,3591.84000000,3634.70000000,3530.39000000,3616.21000000,29755.44083800,1547769599999,106709136.97324342,217797,16010.50339500,57427195.93767381,0
17,1547769600000,3613.32000000,3620.00000000,3565.75000000,3594.87000000,22713.44675500,1547855999999,81699723.54479144,177567,12611.08375700,45362975.23668103,0
18,1547856000000,3594.87000000,3720.00000000,3594.23000000,3665.30000000,22171.57812300,1547942399999,81354185.90325992,175054,11637.25817100,42690540.30785225,0
19,1547942400000,3665.75000000,3693.73000000,3475.00000000,3539.28000000,27901.93859800,1548028799999,99767239.95381454,204941,13875.11138100,49633530.63808028,0
20,1548028800000,3539.26000000,3559.51000000,3475.50000000,3526.90000000,19644.43683900,1548115199999,69316548.76685554,160825,10462.02027800,36918177.63501831,0
21,1548115200000,3526.88000000,3608.50000000,3434.85000000,3570.93000000,29336.44296700,1548201599999,103804480.11605988,195484,15661.33300100,55461347.69397660,0
22,1548201600000,3570.41000000,3607.98000000,3514.50000000,3552.82000000,24938.84269800,1548287999999,88816396.34583544,192892,13136.69325300,46789527.00878810,0
23,1548288000000,3552.97000000,3589.00000000,3529.22000000,3569.62000000,20826.25118000,1548374399999,74037052.86632736,162159,10975.97457000,39023591.88152408,0
24,1548374400000,3569.07000000,3587.15000000,3522.51000000,3565.29000000,17608.34667100,1548460799999,62634926.45524528,153413,9690.39815200,34473989.38670668,0
25,1548460800000,3566.69000000,3662.94000000,3545.00000000,3565.25000000,19476.53234400,1548547199999,69841766.64693149,135369,10203.40031500,36578851.51879908,0
26,1548547200000,3565.62000000,3579.00000000,3486.00000000,3550.84000000,22735.59816200,1548633599999,80743416.84653682,163855,11568.56739900,41100311.44740031,0
27,1548633600000,3550.05000000,3557.75000000,3380.27000000,3434.15000000,40405.11140100,1548719999999,139258708.76430879,260799,20334.27173900,70100390.81728584,0
28,1548720000000,3434.00000000,3443.45000000,3349.92000000,3411.04000000,29544.92897700,1548806399999,100542807.46479908,189650,15626.31123100,53180295.18051735,0
29,1548806400000,3410.04000000,3478.00000000,3387.10000000,3458.18000000,23968.26024300,1548892799999,82521122.86191754,180820,13324.33962800,45877250.05787340,0
30,1548892800000,3457.50000000,3489.20000000,3418.80000000,3434.10000000,29607.19025300,1548979199999,101928346.97699686,198100,15325.82878300,52764623.95051864,0
31,1548979200000,3434.10000000,3488.00000000,3401.20000000,3462.07000000,25260.47615900,1549065599999,87075914.23266830,167520,13533.34462800,46664199.94907889,0
32,1549065600000,3462.20000000,3526.40000000,3440.29000000,3504.77000000,17920.80200000,1549151999999,62134037.97539881,153234,9637.41923000,33417963.69624554,0
33,1549152000000,3504.06000000,3511.09000000,3426.00000000,3458.11000000,19867.33639000,1549238399999,68801620.06241606,138592,10126.71614300,35070884.46205618,0
34,1549238400000,3458.11000000,3484.88000000,3433.31000000,3463.22000000,23131.98110800,1549324799999,80024258.22766613,155686,12387.10978100,42856551.66874073,0
35,1549324800000,3463.22000000,3478.97000000,3448.43000000,3471.59000000,25264.41503000,1549411199999,87491347.06381486,162066,13642.82308400,47248405.24357039,0
36,1549411200000,3471.57000000,3482.72000000,3380.00000000,3405.37000000,35310.24484600,1549497599999,120500703.00515730,207024,18054.00834700,61609674.49994292,0
37,1549497600000,3407.00000000,3426.45000000,3390.00000000,3398.40000000,18665.53863800,1549583999999,63611505.78657223,148209,9971.89096000,33985909.98028422,0
38,1549584000000,3398.40000000,3733.58000000,3373.10000000,3659.04000000,47968.05801300,1549670399999,170118212.46197886,277242,25500.97034500,90453750.95066435,0
39,1549670400000,3660.27000000,3680.02000000,3625.13000000,3665.18000000,24759.83371900,1549756799999,90488500.06766240,192209,13208.14275000,48274378.26417207,0
40,1549756800000,3665.18000000,3684.99000000,3609.76000000,3680.06000000,23250.60263400,1549843199999,84696423.96233752,171099,12445.22054600,45337811.06485932,0
41,1549843200000,3679.75000000,3684.90000000,3615.53000000,3631.05000000,24954.61457100,1549929599999,90731831.90427426,172626,12713.19166600,46221559.64321214,0
42,1549929600000,3631.05000000,3667.60000000,3582.34000000,3631.46000000,29479.59823000,1550015999999,106766439.99436474,198996,14986.11962900,54283275.96877608,0
43,1550016000000,3631.51000000,3670.00000000,3591.75000000,3609.40000000,25773.99764800,1550102399999,93350740.94830574,167690,13552.84642000,49100779.82827613,0
44,1550102400000,3608.34000000,3626.40000000,3568.11000000,3590.56000000,21753.50126100,1550188799999,78367545.57945933,155215,11271.17502000,40602592.45976747,0
45,1550188800000,3590.57000000,3653.23000000,3573.45000000,3602.47000000,20777.87289900,1550275199999,74938358.18352868,151256,10840.39689500,39106496.49706577,0
46,1550275200000,3602.49000000,3648.20000000,3597.91000000,3618.41000000,19565.99275100,1550361599999,70894921.80761533,149393,10452.11973000,37873280.57143865,0
47,1550361600000,3617.22000000,3700.11000000,3604.40000000,3667.58000000,25690.22777900,1550447999999,93426433.13226133,179511,13004.16467600,47317986.79403941,0
48,1550448000000,3667.62000000,3925.00000000,3655.00000000,3898.60000000,64042.73049200,1550534399999,242898012.76922592,393515,33934.97317100,128779026.65413163,0
49,1550534400000,3897.35000000,3994.52000000,3856.00000000,3907.79000000,50207.17266700,1550620799999,197091641.04739993,332281,27008.59756600,106038298.75034281,0
50,1550620800000,3907.35000000,3986.98000000,3870.66000000,3969.74000000,36205.14085000,1550707199999,142571564.56112989,250176,19952.70098400,78593009.21716801,0
51,1550707200000,3969.74000000,4016.48000000,3901.03000000,3937.31000000,31103.88472800,1550793599999,122714273.87417651,209571,16678.73094500,65816472.08951928,0
52,1550793600000,3937.31000000,3988.00000000,3926.65000000,3962.00000000,23943.16375000,1550879999999,94739322.74557025,179588,12932.07849400,51172984.85084170,0
53,1550880000000,3962.00000000,4162.02000000,3933.15000000,4117.76000000,33657.94288300,1550966399999,135782959.41827349,231563,17790.39681500,71727695.50468791,0
54,1550966400000,4118.00000000,4198.00000000,3712.66000000,3743.56000000,62224.18689000,1551052799999,244146803.51886994,410578,30284.98096300,118938981.43024275,0
55,1551052800000,3743.56000000,3872.66000000,3740.00000000,3827.92000000,38102.96624500,1551139199999,145285565.20317070,262716,20414.12531600,77851143.96719552,0
56,1551139200000,3828.44000000,3841.51000000,3777.00000000,3809.23000000,28838.74803600,1551225599999,109932596.10609363,213897,14790.21331100,56376982.48230529,0
57,1551225600000,3809.31000000,3838.85000000,3677.17000000,3818.07000000,31500.99546600,1551311999999,119564023.12004227,201626,16214.23584600,61560455.27515973,0
58,1551312000000,3818.04000000,3888.00000000,3763.87000000,3813.69000000,32561.96104400,1551398399999,124703738.39336836,233849,16907.09230100,64761233.24960861,0
59,1551398400000,3814.26000000,3857.00000000,3813.01000000,3823.00000000,23174.57217000,1551484799999,88851336.52111789,179860,12773.95259500,48982541.74343915,0
60,1551484800000,3822.17000000,3841.31000000,3772.25000000,3819.93000000,19445.83835500,1551571199999,74175357.77882297,149854,10248.94565500,39098061.94664881,0
61,1551571200000,3819.97000000,3835.00000000,3781.32000000,3807.75000000,16718.16541000,1551657599999,63791898.99159701,127681,8854.21887800,33793163.48606208,0
62,1551657600000,3807.32000000,3830.00000000,3670.69000000,3715.30000000,34742.84166000,1551743999999,129739738.23815794,218615,18023.02240700,67312533.26381876,0
