Open,High,Low,Close,Label
9383.35,9435,9377.8,9429.86,9383.07
9428.55,9464.53,9403.27,9441.88,9429.86
9441.42,9457.14,9390.01,9432.33,9441.88
9431.75,9449.94,9400,9401.42,9432.33
9402.2,9414.37,9377.77,9381.12,9401.42
9381.13,9409.64,9378.85,9398.01,9381.12
9397.54,9454.77,9396.96,9423.01,9398.01
9423.02,9425.76,9380,9384.62,9423.01
9385.1,9398.71,9355,9387.87,9384.62
9387.44,9407,9358,9379.55,9387.87
9379.55,9385.82,9321.41,9354.66,9379.55
9354.65,9367.64,9281,9312.06,9354.66
9311.64,9372,9303.72,9345.35,9312.06
9345.19,9359.4,9305,9350.08,9345.35
9350,9375,9330.27,9333.91,9350.08
9333.73,9407.52,9327,9405.8,9333.91
9405.86,9420.98,9380.94,9381.48,9405.8
9381.51,9403,9356.01,9390.3,9381.48
9390.55,9392.25,9351.43,9367.09,9390.3
9367.76,9392.05,9353.01,9381.43,9367.09
9381.43,9381.8,9364.06,9379.99,9381.43
9379.4,9407.8,9350,9377.87,9379.99
9379.57,9409.99,9376.69,9384.61,9377.87
9384.41,9387.03,9320,9328.49,9384.61
9328.5,9347.81,9307.83,9336.43,9328.49
9334.81,9336.43,9245.75,9267.83,9336.43
9267.91,9295.06,9251.18,9266.83,9267.83
9266.79,9332.72,9120,9322.33,9266.83
9322.89,9346.08,9300,9311.43,9322.33
9310.72,9382,9289.08,9361.09,9311.43
9361.4,9385,9350.01,9370.53,9361.09
9370.53,9400,9346,9368.06,9370.53
9367.16,9385,9352.5,9380.6,9368.06
9380.65,9450,9380.55,9423.35,9380.6
9423.44,9443.08,9410,9435.54,9423.35
9435.79,9477.03,9402.04,9421.8,9435.54
9423.11,9430.56,9396.83,9421.99,9421.8
9421.84,9458.8,9363.89,9446.86,9421.99
9446.86,9464.52,9433.68,9446.77,9446.86
9446.8,9458.19,9417.96,9427.75,9446.77
9427.75,9449.5,9395.46,9430.73,9427.75
9430.73,9455,9428.02,9442.75,9430.73
9442.01,9460,9430.18,9438.08,9442.75
9437.9,9454.87,9419.38,9437.55,9438.08
9437.97,9447.24,9425,9441.5,9437.55
9440.62,9442.87,9374.53,9380,9441.5
9380.01,9417.39,9322,9331.51,9380
9331.59,9420.26,9288,9411.09,9331.51
9411.09,9618.79,9396.37,9510.76,9411.09
9510.76,9517.43,9320,9376.3,9510.76
9377.57,9397.14,9333.83,9385.59,9376.3
9386.24,9405.88,9368.43,9392.91,9385.59
9392.91,9426.6,9387.61,9401.8,9392.91
9401.98,9418,9385,9395.34,9401.8
9396.53,9396.67,9346.09,9368.16,9395.34
9368.16,9399.42,9351.38,9371.22,9368.16
9371.87,9374.49,9336.07,9344.16,9371.22
9344.17,9348.34,9308.19,9312.93,9344.16
9313.59,9398.99,9303.2,9351.48,9312.93
9352,9373.97,9335.11,9347.12,9351.48
9347.12,9350.53,9307,9331.05,9347.12
9331.5,9365.79,9302.01,9353.61,9331.05
9355.13,9355.13,9265,9270,9353.61
9270,9331.5,9255,9263.67,9270
9263.14,9304.02,9234,9293.37,9263.67
9293.29,9317.03,9259.47,9308.37,9293.37
9308.32,9318.79,9290.14,9316.7,9308.37
9316.04,9344.02,9297.02,9318.04,9316.7
9318.05,9318.09,9273.55,9287.58,9318.04
9286.47,9303.82,9260,9274.05,9287.58
9274.46,9319.99,9251.01,9292.24,9274.05
9291.35,9350,9290.63,9330.09,9292.24
9330.52,9344.02,9270,9275.97,9330.09
9276.65,9307.69,9276.65,9301.56,9275.97
9301.09,9305,9262.14,9282.95,9301.56
9282.96,9315.91,9255,9271.25,9282.95
9270.27,9295.94,9227.58,9289.34,9271.25
9288.21,9299,9250,9274.77,9289.34
9274.76,9318.89,9257,9278.63,9274.77
9278.63,9297.16,9238.2,9239.8,9278.63
9239.92,9327,9161,9172.16,9239.8
9172.16,9198.96,9153.78,9170.92,9172.16
9171.64,9249.9,9108,9182.81,9170.92
9182.81,9204.57,9100,9133.41,9182.81
9133.28,9159.66,9093.01,9157.85,9133.41
9157.85,9171.98,9115,9153.51,9157.85
9154.3,9236.72,9144,9206.47,9153.51
9207.02,9240,9200,9225.4,9206.47
9225.41,9232.55,9200.62,9228,9225.4
9228,9240,9173.9,9195.57,9228
9195.54,9208,9176,9186.37,9195.57
9186.72,9205.98,9151,9204.64,9186.37
9204.95,9207.02,9165.29,9169.09,9204.64
9169.09,9203.09,9161.18,9202.48,9169.09
9202.15,9220.19,9178.72,9197.02,9202.48
