open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
1.5463E+12,3701.23,3713,3689.88,3700.31,686.36742,1.5463E+12,2539069.229,5534,370.855314,1371962.404,0
1.5463E+12,3700.2,3702.73,3684.22,3689.69,613.539115,1.54631E+12,2266699.82,5086,320.644448,1184518.682,0
1.54631E+12,3689.67,3695.95,3675.04,3690,895.302181,1.54631E+12,3302044.3,6391,471.857118,1740469.339,0
1.54631E+12,3690,3699.77,3685.78,3693.13,796.714818,1.54632E+12,2942421.719,5709,459.948381,1698856.966,0
1.54632E+12,3692.32,3720,3685.94,3692.71,1317.452909,1.54632E+12,4872936.747,7908,770.995533,2852106.125,0
1.54632E+12,3693.98,3704.44,3692.73,3699.94,572.402228,1.54632E+12,2117704.504,3886,326.520975,1208150.467,0
1.54632E+12,3699.95,3713.93,3697,3703.56,660.279771,1.54633E+12,2446400.841,4839,384.509915,1424666.665,0
1.54633E+12,3703.63,3726.64,3703.34,3713.83,823.625491,1.54633E+12,3057514.265,5335,424.73922,1577036.531,0
1.54633E+12,3714.19,3731.19,3707,3716.7,887.101362,1.54633E+12,3300499.527,6190,468.473211,1742964.488,0
1.54633E+12,3716.98,3732,3696.14,3699.95,955.879034,1.54634E+12,3545473.523,5670,510.885391,1895818.295,0
1.54634E+12,3699.96,3717.11,3698,3713.07,534.113945,1.54634E+12,1981238.279,4008,290.434437,1077294.148,0
1.54634E+12,3713.07,3722.22,3706.88,3707.54,600.664642,1.54634E+12,2231596.687,4838,305.098579,1133571.722,0
1.54634E+12,3707.56,3725,3698.25,3717,654.27771,1.54635E+12,2428995.461,4802,352.182187,1307746.374,0
1.54635E+12,3717,3756.94,3708.41,3715.93,941.785695,1.54635E+12,3506657.91,5975,568.85731,2119100.478,0
1.54635E+12,3715.23,3717,3684.21,3698.53,1127.366632,1.54635E+12,4174145.841,6899,546.537425,2024161.843,0
1.54635E+12,3698.28,3698.87,3666.01,3682.61,996.688532,1.54636E+12,3670749.821,6788,500.265135,1842402.088,0
1.54636E+12,3683,3696.23,3677.48,3693.54,629.18028,1.54636E+12,2320803.159,4600,327.562834,1208303.209,0
1.54636E+12,3693.5,3701.68,3675.01,3686.32,380.215487,1.54637E+12,1403206.215,4207,199.429914,736085.6187,0
1.54637E+12,3686.34,3686.35,3642,3659.41,1083.207096,1.54637E+12,3966667.505,7211,524.277785,1920151.867,0
1.54637E+12,3659.56,3699.99,3659.56,3696.73,1155.513112,1.54637E+12,4247300.535,6923,738.862592,2715296.976,0
1.54637E+12,3696.71,3726.93,3675.67,3719,2021.170948,1.54638E+12,7499086.508,11604,1132.452741,4202782.042,0
1.54638E+12,3719,3730.01,3700,3708.21,1105.501735,1.54638E+12,4107122.152,7130,589.372813,2190145.111,0
1.54638E+12,3707.98,3717.07,3692.42,3711.2,624.620136,1.54638E+12,2316083.747,5721,320.426107,1188213.357,0
1.54638E+12,3712.85,3810.16,3706.43,3797.14,3678.716754,1.54639E+12,13904830.79,16973,2013.966534,7611631.07,0
1.54639E+12,3796.45,3810,3763.75,3778.02,2094.025159,1.54639E+12,7927726.292,10665,1108.378408,4197072.308,0
1.54639E+12,3778.62,3792,3765.75,3770,912.811113,1.54639E+12,3450021.652,6210,402.318724,1520610.21,0
1.54639E+12,3769.98,3785.1,3768,3783.28,719.302757,1.5464E+12,2716784.189,5401,277.573136,1048522.239,0
1.5464E+12,3783.28,3796.22,3773.79,3779.98,770.368067,1.5464E+12,2915832.267,5710,365.280726,1382915.975,0
1.5464E+12,3780,3788.31,3765,3776.41,748.260209,1.54641E+12,2825638.325,5835,337.312869,1273981.861,0
1.54641E+12,3776.16,3778.42,3768,3773.04,415.849513,1.54641E+12,1568711.698,5001,212.921242,803255.6581,0
1.54641E+12,3773.04,3775,3750.45,3758.53,916.986058,1.54641E+12,3451865.149,6808,395.508015,1489120.922,0
1.54641E+12,3758.53,3778.54,3755.4,3771.08,1338.79474,1.54642E+12,5042810.175,9727,626.514292,2359937.383,0
1.54642E+12,3772.64,3800,3770.09,3781.35,2216.579225,1.54642E+12,8383935.086,14534,1175.171836,4445758.729,0
1.54642E+12,3780.81,3786.24,3770,3775,1483.627847,1.54642E+12,5604426.273,8460,604.814383,2284447.676,0
1.54642E+12,3773.84,3794.4,3770.03,3788,1117.136593,1.54643E+12,4222018.606,8212,563.392394,2129647.161,0
1.54643E+12,3788.22,3803.68,3777.82,3787.97,1395.941655,1.54643E+12,5290195.29,8936,690.93358,2618716.373,0
1.54643E+12,3788.81,3793.72,3778.23,3792.51,1179.766158,1.54643E+12,4466590.698,7319,611.288143,2314400.254,0
1.54643E+12,3793.12,3839.63,3790.82,3825.65,2589.868431,1.54644E+12,9886282.492,13833,1432.800439,5469358.301,0
1.54644E+12,3825.19,3834.26,3796.51,3811.24,2325.654093,1.54644E+12,8859641.42,10957,1165.273334,4439077.254,0
1.54644E+12,3812.17,3815,3785.75,3801.28,1359.581327,1.54644E+12,5170975.934,8568,700.157522,2663491.128,0
1.54644E+12,3802.61,3865.72,3795,3824.89,2696.187308,1.54645E+12,10324509.06,13610,1576.661499,6038538.849,0
1.54645E+12,3824.89,3845.78,3811.01,3822.6,2166.328561,1.54645E+12,8284002.961,10875,1114.399727,4260118.017,0
1.54645E+12,3822.62,3833,3807,3828.87,1203.590309,1.54646E+12,4595777.159,7991,564.721094,2156936.977,0
1.54646E+12,3827.22,3830.19,3801.14,3824.98,921.475994,1.54646E+12,3517565.677,7408,510.20239,1947658.36,0
1.54646E+12,3824.98,3854.35,3812.34,3849,1189.427606,1.54646E+12,4555593.14,8878,602.066298,2305805.182,0
1.54646E+12,3849.27,3876,3830.06,3856.68,1770.790639,1.54647E+12,6822259.707,10829,857.575181,3304565.542,0
1.54647E+12,3857.36,3876,3842.46,3862.12,1464.303496,1.54647E+12,5640543.491,9604,879.258546,3386773.527,0
1.54647E+12,3861.62,3882.14,3851,3858.56,2159.806511,1.54647E+12,8352920.503,13167,1147.076336,4437187.776,0
1.54647E+12,3857.57,3862.74,3828.7,3830.78,1754.761595,1.54648E+12,6757363.672,10950,863.872924,3327419.069,0
1.54648E+12,3830.76,3843.24,3821.14,3835.96,1334.960909,1.54648E+12,5116097.161,8772,722.629225,2769590.266,0
1.54648E+12,3835.96,3844.99,3825.85,3833.47,651.947136,1.54648E+12,2501621.616,6739,323.955139,1243070.802,0
1.54648E+12,3833.69,3847.05,3832,3841.83,732.021603,1.54649E+12,2811851.085,5844,441.657884,1696482.961,0
1.54649E+12,3841.83,3850,3833.7,3834.59,649.628917,1.54649E+12,2497026.737,6780,296.986011,1141641.841,0
1.54649E+12,3834.7,3840.31,3805,3824.38,1094.336108,1.5465E+12,4180970.572,8434,506.095409,1933753.316,0
1.5465E+12,3824.38,3829.89,3813.62,3820.53,774.978958,1.5465E+12,2963174.057,5998,409.602522,1566257.496,0
1.5465E+12,3821.81,3837.52,3820.39,3828.88,706.28305,1.5465E+12,2703950.609,6167,380.773112,1457899.83,0
1.5465E+12,3828.88,3832.83,3796,3805,1539.518737,1.54651E+12,5873692.908,9444,654.481481,2497360.791,0
1.54651E+12,3805.85,3814.96,3783,3805.81,1663.638855,1.54651E+12,6326423.096,9241,824.379315,3135872.497,0
1.54651E+12,3806.13,3819,3804.07,3811.52,1319.359017,1.54651E+12,5029915.523,7503,596.168002,2273019.415,0
1.54651E+12,3810.61,3813.51,3787.29,3804,1649.230215,1.54652E+12,6265894.934,9476,854.974877,3248479.961,0
1.54652E+12,3803.31,3823,3795.33,3818.02,1243.81332,1.54652E+12,4734821.153,8013,674.380814,2567055.836,0
1.54652E+12,3817.17,3822,3809.35,3817.36,1097.353713,1.54652E+12,4186558.34,7143,558.107358,2129562.034,0
1.54652E+12,3816.64,3817.37,3790.04,3796.7,1187.831704,1.54653E+12,4517805.101,8096,569.932195,2168031.332,0
1.54653E+12,3796.79,3811.89,3785.32,3806.7,1340.266726,1.54653E+12,5096398.41,8750,711.423847,2705569.257,0
1.54653E+12,3807.37,3807.75,3730,3738,3271.17214,1.54653E+12,12286752.42,17730,1445.380949,5430504.149,0
1.54653E+12,3738.71,3762.04,3732.19,3748.46,2025.998359,1.54654E+12,7598461.41,10742,1148.626279,4307656.965,0
1.54654E+12,3748.46,3759.33,3738,3757.89,1021.63925,1.54654E+12,3829599.243,7826,574.008689,2152037.058,0
1.54654E+12,3757.58,3763.71,3740.11,3756,771.584632,1.54655E+12,2895619.636,7287,405.658494,1522377.451,0
1.54655E+12,3756,3782.25,3752.37,3780.03,760.416581,1.54655E+12,2865206.79,7727,410.307643,1546081.536,0
